node_id,node_kind,outcome,is_combat,is_player_choice,neutral_expected_visits,neutral_visit_probability,balanced_mean_visit_probability,visit_probability_range,min_visit_profile,max_visit_profile,neutral_death_contribution,balanced_mean_death_contribution,neutral_win_potential,neutral_local_entropy_nats,neutral_entropy_contribution_nats,neutral_choice_impact,neutral_choice_win_range,neutral_visit_probability_given_death,neutral_visit_probability_given_win,neutral_win_minus_death_visit_probability
1,narrative,,false,true,1,1,1,0,cautious_selfish_physical,cautious_selfish_physical,0,0,0.119811141043,1.03972077084,1.03972077084,0.0330756049483,0.0661512098965,1,1,0
2,narrative,,false,false,0.113928043359,0.113928043359,0.117077362291,0.143619728598,reckless_noble_tactical,cautious_selfish_physical,0,0,0.114774505912,0.69314718056,0.0789689020413,0,0,0.114579964796,0.109138722596,-0.0054412422
3,narrative,,false,true,0.0723946965185,0.0723946965185,0.100852140013,0.276101203744,reckless_selfish_tactical,cautious_noble_physical,0,0,0.752377832031,0.69314718056,0.0501801797793,0.0825407226563,0.165081445313,0.0203666878067,0.454616860696,0.434250172889
4,narrative,,false,true,0.0359473535475,0.0359473535475,0.0520524075647,0.167915427827,reckless_selfish_tactical,cautious_noble_physical,0,0,0.66657436535,1.03972077084,0.03737521014,0.0296887369019,0.0593774738037,0.0136172698036,0.199994626279,0.186377356475
5,narrative,,false,false,5.11607110233e-05,5.11607110233e-05,5.25401479274e-05,0.000183460520126,cautious_selfish_physical,reckless_noble_tactical,0,0,0.555493563128,0,0,0,0,2.5836802106e-05,0.000237202028219,0.000211365226113
6,narrative,,false,true,0.249823004306,0.249823004306,0.286719846429,0.591267507718,reckless_neutral_tactical,cautious_selfish_physical,0,0,0.264415676327,0.69314718056,0.173164111074,0.0576566333983,0.115313266797,0.208780063267,0.551343707028,0.342563643761
7,narrative,,false,false,0.0835411467501,0.0835411467501,0.109443385081,0.195117104177,reckless_noble_physical,cautious_noble_neutral,0,0,0.7,0.610864302055,0.0510323043024,0,0,0.0284738255546,0.488091526516,0.459617700961
8,narrative,,false,false,0.360134661751,0.180067330875,0.179211838677,0.049482508407,reckless_noble_physical,cautious_selfish_physical,0,0,0.188326119195,0,0,0,0,0.166050669434,0.283040302617,0.116989633183
9,narrative,,false,false,0.00898683838687,0.00898683838687,0.00802010072564,0.0188498501089,cautious_noble_physical,reckless_neutral_tactical,0,0,0.226583562262,0.69314718056,0.00622920169,0,0,0.00789667860592,0.016995663654,0.00909898504808
10,narrative,,false,true,0.0539210303212,0.0539210303212,0.0518850555138,0.0750585517821,reckless_selfish_tactical,cautious_neutral_physical,0,0,0.756853280756,0.69314718056,0.03737521014,0,7.77156117238e-16,0.0148953505687,0.340621985111,0.325726634542
