ranking,rank,node_id,score,value
neutral_visit_probability,1,1,1,1
neutral_visit_probability,2,141,0.5,0.5
neutral_visit_probability,3,157,0.496454618959,0.496454618959
neutral_visit_probability,4,264,0.468807191423,0.468807191423
neutral_visit_probability,5,97,0.379313820458,0.379313820458
neutral_visit_probability,6,222,0.375,0.375
neutral_visit_probability,7,70,0.360134661751,0.360134661751
neutral_visit_probability,8,331,0.347077568154,0.347077568154
neutral_visit_probability,9,30,0.335778188787,0.335778188787
neutral_visit_probability,10,213,0.332600888213,0.332600888213
balanced_visit_probability,1,1,1,1
balanced_visit_probability,2,264,0.51316626821,0.51316626821
balanced_visit_probability,3,157,0.511224169611,0.511224169611
balanced_visit_probability,4,141,0.5,0.5
balanced_visit_probability,5,222,0.375,0.375
balanced_visit_probability,6,97,0.369565649359,0.369565649359
balanced_visit_probability,7,70,0.358423677354,0.358423677354
balanced_visit_probability,8,30,0.338245795718,0.338245795718
balanced_visit_probability,9,331,0.336983235201,0.336983235201
balanced_visit_probability,10,213,0.326464948665,0.326464948665
profile_sensitivity,1,200,0.598629463444,0.598629463444
profile_sensitivity,2,6,0.591267507718,0.591267507718
profile_sensitivity,3,255,0.492603453364,0.492603453364
profile_sensitivity,4,303,0.428316031474,0.428316031474
profile_sensitivity,5,64,0.419414671647,0.419414671647
profile_sensitivity,6,82,0.410338676651,0.410338676651
profile_sensitivity,7,235,0.410338676651,0.410338676651
profile_sensitivity,8,97,0.390816456606,0.390816456606
profile_sensitivity,9,188,0.390001079885,0.390001079885
profile_sensitivity,10,194,0.376978180725,0.376978180725
neutral_death_contribution,1,306,0.189656910229,0.189656910229
neutral_death_contribution,2,327,0.0867693920386,0.0867693920386
neutral_death_contribution,3,154,0.0789921031104,0.0789921031104
neutral_death_contribution,4,309,0.0683841796875,0.0683841796875
neutral_death_contribution,5,234,0.0672167884916,0.0672167884916
neutral_death_contribution,6,170,0.0434714654113,0.0434714654113
neutral_death_contribution,7,255,0.0316727040082,0.0316727040082
neutral_death_contribution,8,208,0.0280374787638,0.0280374787638
neutral_death_contribution,9,108,0.025062344025,0.025062344025
neutral_death_contribution,10,185,0.0220357000391,0.0220357000391
neutral_choice_impact,1,120,0.229063939268,0.229063939268
neutral_choice_impact,2,24,0.222712414075,0.222712414075
neutral_choice_impact,3,235,0.219557685792,0.219557685792
neutral_choice_impact,4,254,0.219557685792,0.219557685792
neutral_choice_impact,5,58,0.189213320189,0.189213320189
neutral_choice_impact,6,78,0.175023862446,0.175023862446
neutral_choice_impact,7,196,0.165081445313,0.165081445313
neutral_choice_impact,8,299,0.162065247043,0.162065247043
neutral_choice_impact,9,269,0.15,0.15
neutral_choice_impact,10,23,0.147404791621,0.147404791621
neutral_outcome_visit_contrast,1,350,1,1
neutral_outcome_visit_contrast,2,129,0.811837034867,0.811837034867
neutral_outcome_visit_contrast,3,66,0.689031101579,0.689031101579
neutral_outcome_visit_contrast,4,139,0.689031101579,0.689031101579
neutral_outcome_visit_contrast,5,144,0.66077700846,0.66077700846
neutral_outcome_visit_contrast,6,142,0.633100244412,0.633100244412
neutral_outcome_visit_contrast,7,265,0.633100244412,0.633100244412
neutral_outcome_visit_contrast,8,303,0.608171900334,0.608171900334
neutral_outcome_visit_contrast,9,64,0.590078382585,0.590078382585
neutral_outcome_visit_contrast,10,288,0.571071049945,0.571071049945
